Name,Family_size,Status,Location,Age,Budget,Type of Vehicle,Model,Category,Accessories Name
CUS1,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Comfort,Heated steering wheel
CUS2,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Entertainment,Driver Assistance Package
CUS3,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Performance,AIRMATIC semi-active air suspension
CUS4,3,Medium ,Single,LD,>40,Gasoline,2016 CLS400 4MATIC Coupe,Styling,18-inch 10-spoke alloy wheels
CUS5,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Comfort,Heated steering wheel
CUS6,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Entertainment,Driver Assistance Package
CUS7,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Performance,AIRMATIC semi-active air suspension
CUS8,3,Medium ,Married,CD,>40,Gasoline,2016 CLS400 Coupe,Styling,19-inch 10-spoke alloy wheels
CUS9,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Comfort,AMG Performance front seats
CUS10,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Entertainment,AMG Head-Up Display
CUS11,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Performance,AMG Nappa/DINAMICA Performance steering wheel
CUS12,2,Low,Single,CD,>40,Gasoline,AMG C43 Cabriolet,Styling,Panorama roof
CUS13,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Comfort,AMG Performance front seats
CUS14,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Entertainment,AMG Head-Up Display
CUS15,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Performance,AMG Nappa/DINAMICA Performance steering wheel
CUS16,4,Low,Married,LD,<40,Gasoline,AMG C43 Sedan,Styling,Panorama roof
CUS17,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Comfort,Ventilated front seats
CUS18,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Entertainment,AMG Night Package
CUS19,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Performance,Parking Assist Package
CUS20,2,Medium ,Single,CD,>40,Gasoline,AMG C63 Cabriolet,Styling,AMG Carbon Fiber Rear Spoiler
CUS21,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Comfort,AMG Performance Nappa/DINAMICA steering wheel
CUS22,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Entertainment,AMG Night Package
CUS23,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Performance,AMG Exterior Carbon Fiber Package 1
CUS24,3,Medium ,Single,CD,<40,Gasoline,AMG C63 Coupe,Styling,Red seat belts
CUS25,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Comfort,AMG Door Pins
CUS26,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Entertainment,AMG Night Package
CUS27,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Performance,AMG Performance Exhaust System
CUS28,2,Medium ,Single,CD,<40,Gasoline,AMG C63 S Cabriolet,Styling,AMG Side Sill Panels
CUS29,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Comfort,Cabin atomizer fragrances
CUS30,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Entertainment,AMG Night Package
CUS31,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Performance,AMG Carbon-Ceramic Front Braking System
CUS32,3,Medium ,Married,CD,<40,Gasoline,AMG C63 S Coupe,Styling,Wheel Hub Inserts
CUS33,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Comfort,"mbrace Concierge
3-month free trial"
CUS34,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Entertainment,Garmin® MAP PILOT
CUS35,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Performance,AMG Carbon-Ceramic Front Braking System
CUS36,4,Medium ,Single,CD,<40,Gasoline,AMG C63 S Sedan,Styling,Chrome Door Handle Inserts
CUS37,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Comfort,"mbrace Concierge
3-month free trial"
CUS38,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Entertainment,AMG Head-Up Display
CUS39,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Performance,AMG Exterior Carbon Fiber Package
CUS40,4,Medium ,Married,LD,<40,Gasoline,AMG C63 Sedan,Styling,AMG Carbon Fiber Rear Spoiler
